grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,universidade_nome,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Integral,9715.61,2.0,5.0,6.0,10.0,1002328574024,Medicina,Sao Paulo,SP,Universidade Cidade de São Paulo - UNICID,Medicina,739.62,738.08,738.96,718.64
Bacharelado,Integral,9674.34,4.0,1.0,5.0,2.0,65899611932754,Medicina,Rio Branco,AC,Faculdade Barão do Rio Branco - FAB,Medicina,758.32,723.94,734.92,711.26
Bacharelado,Integral,9023.07,4.0,4.0,5.0,5.0,65921511844324,Medicina,Itaperuna,RJ,Faculdade Redentor - FACREDENTOR,Medicina,741.06,729.02,730.98,722.82
Bacharelado,Integral,8508.54,2.0,1.0,7.0,2.0,104123711716094,Medicina,Belem,PA,Faculdade Metropolitana da Amazônia - FAMAZ,Medicina,741.36,739.9,760.8,715.1
Bacharelado,Integral,8281.38,3.0,1.0,6.0,2.0,105887911921884,Medicina,Imperatriz,MA,Universidade do Ceuma - Uniceuma - UNICEUMA,Medicina,756.46,737.88,747.14,717.6
Bacharelado,Integral,8281.37,4.0,1.0,8.0,2.0,658119591744,Medicina,Sao Luis,MA,Universidade do Ceuma - Uniceuma - UNICEUMA,Medicina,757.84,738.9,735.76,718.48
Bacharelado,Integral,8200.0,2.0,3.0,4.0,7.0,105596711902804,Medicina,Sao Paulo,SP,Faculdade das Américas - FAM,Medicina,735.84,724.7,738.42,723.28
Bacharelado,Integral,8195.0,1.0,1.0,4.0,3.0,137380663614,Medicina,Vespasiano,MG,Faculdade da Saúde e Ecologia Humana - FASEH,Medicina,770.5,792.24,750.44,732.46
Bacharelado,Integral,7750.0,1.0,1.0,1.0,3.0,70703413994804,Medicina,Campo Mourao,PR,Centro Universitário Integrado de Campo Mourão,Medicina,745.46,746.1,743.14,690.18
Bacharelado,Integral,7412.7,8.0,5.0,5.0,3.0,1079920726674,Medicina,Joao Pessoa,PB,Faculdade de Ciências Médicas da Paraíba - FCM-PB,Medicina,754.98,733.6,748.78,727.58
Bacharelado,Integral,7216.79,2.0,3.0,4.0,8.0,65793650009334,Medicina,Franca,SP,Universidade de Franca - UNIFRAN,Medicina,744.88,730.88,741.36,721.08
Bacharelado,Integral,7030.0,1.0,1.0,1.0,1.0,7052291076664,Medicina,Montes Claros,MG,Faculdades Integradas Pitágoras - FIP-MOC,Medicina,765.76,741.1,774.96,750.64
Bacharelado,Integral,6909.97,4.0,3.0,9.0,5.0,658461856524,Medicina,Porto Velho,RO,Centro Universitário São Lucas - UniSL,Medicina,742.72,720.2,729.72,711.68
Bacharelado,Integral,6398.55,1.0,1.0,1.0,4.0,66007913994844,Medicina,Guarapuava,PR,Faculdade Campo Real - CAMPO REAL,Medicina,781.2,731.04,745.06,741.0
